Date,AAPL,AMZN,GOOGL,MSFT
2022-04-18,162.0413055419922,152.78500366210938,126.80193328857422,272.4966735839844
2022-04-19,164.32852172851562,158.11549377441406,129.11843872070312,277.1399230957031
2022-04-20,164.16168212890625,153.9980010986328,127.16293334960938,278.16961669921875
2022-04-21,163.36654663085938,148.29600524902344,123.95953369140625,272.7783203125
2022-04-22,158.8214569091797,144.35000610351562,118.81600952148438,266.19232177734375
2022-04-25,159.8914794921875,146.07400512695312,122.23095703125,272.69097900390625
2022-04-26,153.92303466796875,139.39100646972656,117.83726501464844,262.4912414550781
2022-04-27,153.69723510742188,138.16700744628906,113.51160430908203,275.1194152832031
2022-04-28,160.63754272460938,144.59649658203125,117.71063232421875,281.3460388183594
2022-04-29,154.75746154785156,124.28150177001953,113.3278579711914,269.5823974609375
